player,date,match_day,session_name,session_duration,distance_m,dist_over_time,HSR_abs_dist,HSR_rel_dist,hsr_rel_efforts,HSR_over_time,sprint_dist,sprint_count_85pct,sprint_count_95pct,max_speed,pct_max_velocity,profile_max_vel,player_load,pl_per_min,hmld_m,acc,decc,acc_plus_decc,acc_gt2,acc_gt3,decc_gt2,decc_gt3,hia,max_acc,max_dec,hr_exertion,energy,red_zone,RPE,TL
Isaías Violante,2026-06-08,NA,Activity 20260608141749,7.25,0,0,0,0,0,0,0,0,0,0,0,34.992,1.12898,0.15572137931034485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3.38694
Alan Cervantes,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,156.4,9105.519999999999,58.21943734015344,583.2199999999999,0,0,3.7290281329923265,0,6,0,27.06986,83.6418860462242,32.364,897.1746600000001,5.736410869565218,1286.38998,20,11,31,85,20,49,11,31,3.6984,-3.29362,0,707.6244,0,3,2691.5239800000004
Alexis Gutiérrez,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,155.5,9172.19,58.985144694533766,670.1,3.13,0,4.309324758842444,0,6,0,29.31054,90.46462962962963,32.4,982.6088300000001,6.319027845659165,1594.0400300000001,28,23,51,122,28,75,23,14,3.83294,-3.0132,0,802.6025,0,3,2947.8264900000004
Cristian Borja,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,156.4,7216.65,46.142263427109974,121.83999999999999,0,0,0.7790281329923273,0,1,0,26.30649,77.40845692090396,33.984,827.4024400000001,5.290296930946292,484.65999999999997,8,3,11,50,8,25,3,38,3.71941,-2.63602,0,670.58,0,3,2482.2073200000004
Dagoberto Espinoza,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,133.75,8908.609999999999,66.60642990654205,501.65000000000003,0,0,3.7506542056074768,0,6,0,29.64062,83.33507647323437,35.568,780.37705,5.83459476635514,1087.24999,24,21,45,111,24,66,21,47,4.26172,-2.41385,0,841.2912,0,3,2341.13115
Emilio Lara,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,156.4,8508.34,54.40115089514067,599.03999999999985,0,0,3.8301790281329913,0,7,0,27.98636,77.7398888888889,36,839.76919,5.3693682225063935,1217.35001,24,14,38,86,24,67,14,19,4.56695,-4.17303,0,686.5138,0,3,2519.30757
Erick Sánchez,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,143.81666666666666,7961.62,55.35950863367714,579.37,0,0,4.028531695445591,0,8,0,27.61945,86.29999375078116,32.004,825.93485,5.742970332599374,1216.5200100000002,20,28,48,92,20,75,28,23,4.11841,-3.15813,0,543.8208,0,3,2477.80455
Franco Rossano,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,142.3,8256.34,58.02066057624736,499.06,0,0,3.5070976809557273,0,4,0,27.38958,80.93847517730495,33.84,871.53513,6.124631974701335,1096.84001,24,18,42,93,24,61,18,15,3.75515,0,0,651.1358,0,3,2614.6053899999997
Henry Martín,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,156.16666666666666,8801.42,56.359146211312705,489.24,0,0,3.1328068303094985,0,6,0,26.58891,78.90820868945869,33.696,878.1268299999999,5.623010651013874,1182.1000099999999,21,15,36,116,21,72,15,41,3.98557,-3.27021,0,800.1704,0,3,2634.3804899999996
José Raúl Zúñiga,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,152.15,8329.76,54.74702596122248,478.69,0,0,3.146171541242195,0,6,0,27.94756,80.03310423825887,34.92,840.1708699999999,5.5219906013802165,1067.81003,20,6,26,101,20,57,6,39,3.93634,-2.66445,0,749.5768,0,3,2520.5126099999998
Kevin Álvarez,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,156.4,9019.05,57.66656010230179,859.73,0,0,5.496994884910486,0,6,0,29.63436,84.68895747599451,34.992,806.1032700000001,5.154112979539642,1710.35003,38,37,75,132,38,96,37,34,4.2547,-2.95909,0,752.1647699999999,0,3,2418.30981
Miguel Ram’rez,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,113.01666666666667,6023.9,53.30098805485916,683.1,0,0,6.044241262350686,0,8,0,29.45503,95.1389857881137,30.96,584.38164,5.170756289632797,1174.53003,24,25,49,82,24,67,25,33,3.89487,0,0,488.1247,0,3,1753.1449199999997
Miguel Vázquez,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,152.15,9137.080000000002,60.053105488005265,548.19,0,0,3.6029576076240555,0,6,0,28.50436,83.87582391713747,33.984,886.33213,5.8253837002957605,1065.66002,12,17,29,73,12,53,17,60,3.73674,-2.45462,0,804.2152,0,3,2658.9963900000002
Pato Salas,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,155.5,8911.279999999999,57.30726688102893,547.17,0,0,3.5187781350482314,0,6,0,27.43056,78.39094650205763,34.992,788.2825,5.069340836012862,1372.49997,23,15,38,108,23,74,15,31,3.92677,-3.47112,0,871.2367999999999,0,3,2364.8475
Ramón Juárez,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,144.48333333333332,8041.319999999999,55.655692698119736,476.97,0,0,3.301211212365902,0,7,0,27.49329,83.28271537622682,33.012,767.3562,5.3110361056638595,1012.57003,16,8,24,89,16,49,8,36,3.73449,-2.59519,0,671.45775,0,3,2302.0685999999996
Raphael Veiga,2026-06-09,Other,Activity 20260609154245 | Sesion 1 AM,155.5,8349.109999999999,53.69202572347266,706.51,0,0,4.543472668810289,0,7,0,28.38973,88.70681789776279,32.004,835.48233,5.372876720257235,1376.72006,18,16,34,109,18,69,16,19,3.74487,-2.94544,0,660.0475,0,3,2506.4469900000004
